2017/11/15 09:40:15 [error] 7#7: *1 directory index of "/var/www/html/fastadmin/public/" is forbidden, client: 172.17.0.1, server: website.fastadminamor.com, request: "GET / HTTP/1.1", host: "website.fastadminamor.com"
2017/11/15 09:42:18 [error] 7#7: *3 directory index of "/var/www/html/fastadmin/public/" is forbidden, client: 172.17.0.1, server: website.fastadminamor.com, request: "GET / HTTP/1.1", host: "website.fastadminamor.com"
2017/11/15 09:45:51 [error] 7#7: *5 directory index of "/var/www/html/fastadmin/public/" is forbidden, client: 172.17.0.1, server: website.fastadminamor.com, request: "GET / HTTP/1.1", host: "website.fastadminamor.com"
2017/11/15 09:47:22 [error] 7#7: *7 directory index of "/var/www/html/fastadmin/public/" is forbidden, client: 172.17.0.1, server: website.fastadminamor.com, request: "GET / HTTP/1.1", host: "website.fastadminamor.com"
2017/11/15 09:47:24 [error] 7#7: *7 directory index of "/var/www/html/fastadmin/public/" is forbidden, client: 172.17.0.1, server: website.fastadminamor.com, request: "GET / HTTP/1.1", host: "website.fastadminamor.com"
2017/11/15 09:49:41 [error] 7#7: *9 directory index of "/var/www/html/fastadmin/public/" is forbidden, client: 172.17.0.1, server: website.fastadminamor.com, request: "GET / HTTP/1.1", host: "website.fastadminamor.com"
2017/11/16 06:43:17 [error] 6#6: *1 open() "/var/www/html/fastadmin/public/favicon.ico" failed (2: No such file or directory), client: 172.17.0.1, server: website.fastadminamor.com, request: "GET /favicon.ico HTTP/1.1", host: "website.fastadminamor.com", referrer: "http://website.fastadminamor.com/install.php"
2017/11/16 07:22:13 [error] 8#8: *1 open() "/var/www/html/fastadmin/public/favicon.ico" failed (2: No such file or directory), client: 172.17.0.1, server: website.fastadminamor.com, request: "GET /favicon.ico HTTP/1.1", host: "website.fastadminamor.com", referrer: "http://website.fastadminamor.com/install.php"
2017/11/16 07:59:54 [error] 7#7: *1 open() "/var/www/html/fastadmin/public/favicon.ico" failed (2: No such file or directory), client: 172.17.0.1, server: website.fastadminamor.com, request: "GET /favicon.ico HTTP/1.1", host: "website.fastadminamor.com", referrer: "http://website.fastadminamor.com/install.php"
2017/11/16 08:03:54 [error] 7#7: *1 open() "/var/www/html/fastadmin/public/favicon.ico" failed (2: No such file or directory), client: 172.17.0.1, server: website.fastadminamor.com, request: "GET /favicon.ico HTTP/1.1", host: "website.fastadminamor.com", referrer: "http://website.fastadminamor.com/install.php"
2017/11/16 08:03:54 [error] 7#7: *1 open() "/var/www/html/fastadmin/public/favicon.ico" failed (2: No such file or directory), client: 172.17.0.1, server: website.fastadminamor.com, request: "GET /favicon.ico HTTP/1.1", host: "website.fastadminamor.com", referrer: "http://website.fastadminamor.com/install.php"
2017/11/16 08:03:55 [error] 7#7: *1 open() "/var/www/html/fastadmin/public/favicon.ico" failed (2: No such file or directory), client: 172.17.0.1, server: website.fastadminamor.com, request: "GET /favicon.ico HTTP/1.1", host: "website.fastadminamor.com", referrer: "http://website.fastadminamor.com/install.php"
2017/11/16 08:03:55 [error] 7#7: *1 open() "/var/www/html/fastadmin/public/favicon.ico" failed (2: No such file or directory), client: 172.17.0.1, server: website.fastadminamor.com, request: "GET /favicon.ico HTTP/1.1", host: "website.fastadminamor.com", referrer: "http://website.fastadminamor.com/install.php"
2017/11/16 08:12:40 [error] 7#7: *1 open() "/var/www/html/fastadmin/public/favicon.ico" failed (2: No such file or directory), client: 172.17.0.1, server: website.fastadminamor.com, request: "GET /favicon.ico HTTP/1.1", host: "website.fastadminamor.com", referrer: "http://website.fastadminamor.com/install.php"
2017/11/16 11:11:07 [error] 7#7: *1 open() "/var/www/html/fastadmin/public/index.php/admin/index/login" failed (20: Not a directory), client: 172.17.0.1, server: website.fastadminamor.com, request: "GET /index.php/admin/index/login HTTP/1.1", host: "website.fastadminamor.com", referrer: "http://website.fastadminamor.com/install.php"
2017/11/16 11:28:44 [error] 7#7: *5 open() "/var/www/html/fastadmin/public/index.php/admin/index/login" failed (20: Not a directory), client: 172.17.0.1, server: website.fastadminamor.com, request: "GET /index.php/admin/index/login HTTP/1.1", host: "website.fastadminamor.com", referrer: "http://website.fastadminamor.com/install.php"
2017/11/16 11:29:21 [error] 15#15: *7 open() "/var/www/html/fastadmin/public/index.php/admin/index/login" failed (20: Not a directory), client: 172.17.0.1, server: website.fastadminamor.com, request: "GET /index.php/admin/index/login HTTP/1.1", host: "website.fastadminamor.com", referrer: "http://website.fastadminamor.com/install.php"
2017/11/16 11:29:22 [error] 15#15: *7 open() "/var/www/html/fastadmin/public/index.php/admin/index/login" failed (20: Not a directory), client: 172.17.0.1, server: website.fastadminamor.com, request: "GET /index.php/admin/index/login HTTP/1.1", host: "website.fastadminamor.com", referrer: "http://website.fastadminamor.com/install.php"
2017/11/16 11:29:30 [error] 15#15: *10 open() "/var/www/html/fastadmin/public/index.php/admin/index/login.html" failed (20: Not a directory), client: 172.17.0.1, server: website.fastadminamor.com, request: "GET /index.php/admin/index/login.html HTTP/1.1", host: "website.fastadminamor.com", referrer: "http://website.fastadminamor.com/index.php"
2017/11/16 11:29:56 [error] 19#19: *11 open() "/var/www/html/fastadmin/public/index.php/admin/index/login.html" failed (20: Not a directory), client: 172.17.0.1, server: website.fastadminamor.com, request: "GET /index.php/admin/index/login.html HTTP/1.1", host: "website.fastadminamor.com", referrer: "http://website.fastadminamor.com/index.php"
2017/11/16 11:32:34 [error] 19#19: *15 open() "/var/www/html/fastadmin/public/index.php/admin/index/login.html" failed (20: Not a directory), client: 172.17.0.1, server: website.fastadminamor.com, request: "GET /index.php/admin/index/login.html HTTP/1.1", host: "website.fastadminamor.com", referrer: "http://website.fastadminamor.com/index.php"
2017/11/17 03:01:09 [error] 7#7: *1 open() "/var/www/html/fastadmin/public/admin/index/login.html" failed (2: No such file or directory), client: 172.17.0.1, server: website.fastadminamor.com, request: "GET /admin/index/login.html HTTP/1.1", host: "website.fastadminamor.com", referrer: "http://website.fastadminamor.com/"
2017/11/17 03:01:09 [error] 7#7: *1 open() "/var/www/html/fastadmin/public/favicon.ico" failed (2: No such file or directory), client: 172.17.0.1, server: website.fastadminamor.com, request: "GET /favicon.ico HTTP/1.1", host: "website.fastadminamor.com", referrer: "http://website.fastadminamor.com/admin/index/login.html"
2017/11/17 03:02:50 [error] 7#7: *1 open() "/var/www/html/fastadmin/public/admin/index/login.html" failed (2: No such file or directory), client: 172.17.0.1, server: website.fastadminamor.com, request: "GET /admin/index/login.html HTTP/1.1", host: "website.fastadminamor.com", referrer: "http://website.fastadminamor.com/"
2017/11/17 03:02:51 [error] 7#7: *1 open() "/var/www/html/fastadmin/public/admin/index/login.html" failed (2: No such file or directory), client: 172.17.0.1, server: website.fastadminamor.com, request: "GET /admin/index/login.html HTTP/1.1", host: "website.fastadminamor.com", referrer: "http://website.fastadminamor.com/"
2017/11/17 03:02:56 [error] 7#7: *1 open() "/var/www/html/fastadmin/public/admin/index/login.html" failed (2: No such file or directory), client: 172.17.0.1, server: website.fastadminamor.com, request: "GET /admin/index/login.html HTTP/1.1", host: "website.fastadminamor.com", referrer: "http://website.fastadminamor.com/"
